@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2029/07/18,00:39
@SHEET,1,Analog Data
@Terminal,Signal,Conversion,Service Comment,Low Limit,High Limit,Unit,Set Details,P&ID Tag Name,Label
%Z013101,1,1,#1塔风道燃烧器出口风温B,4,20,mA,1,6201-TI-12253B,%%ITI12253B,IOPE=Yes,SIOP=-6.3 106.3
%Z013102,1,1,#1塔塔膛左墙差压B指示,4,20,mA,1,6201-PDIA-12261B,%%IPDIA12261B,IOPE=Yes,SIOP=-6.3 106.3
%Z013103,1,1,#1塔塔膛左墙差压B指示,4,20,mA,1,6201-PDI-12262B,%%IPDI12262B,IOPE=Yes,SIOP=-6.3 106.3
%Z013104,1,1,#1塔塔膛左墙差压B指示,4,20,mA,1,6201-PDI-12263B,%%IPDI12263B,IOPE=Yes,SIOP=-6.3 106.3
%Z013105,1,1,#1塔给煤机D给煤率反馈,4,20,mA,1,6201-YFI-F-1201D,%%IYFIF1201D,IOPE=Yes,SIOP=-6.3 106.3
%Z013106,1,1,#1塔给煤机D胶带电机速度,4,20,mA,1,6201-YSZI-F-1201D,%%IYSZIF1201D,IOPE=Yes,SIOP=-6.3 106.3
%Z013107,1,1,#1塔给煤机D胶带电机电流,4,20,mA,1,6201-YSI-F-1201D,%%IYSIF1201D,IOPE=Yes,SIOP=-6.3 106.3
%Z013108,1,1,#2机组氨水溶液管道流量,4,20,mA,1,6201-FI-12941,%%IFI12941,IOPE=Yes,SIOP=-6.3 106.3
%Z013109,1,1,#2机组出口稀释氨水流量,4,20,mA,1,6201-FI-12943,%%IFI12943,IOPE=Yes,SIOP=-6.3 106.3
%Z013110,1,1,#2机组入口氨水压力,4,20,mA,1,6201-PI-12941,%%IPI12941,IOPE=Yes,SIOP=-6.3 106.3
%Z013111,1,1,#2机组入口稀释水压力,4,20,mA,1,6201-PI-12942,%%IPI12942,IOPE=Yes,SIOP=-6.3 106.3
%Z013112,1,1,#2机组出口稀释氨水压力,4,20,mA,1,6201-PI-12943,%%IPI12943,IOPE=Yes,SIOP=-6.3 106.3
%Z013113,1,1,#2机组稀释水溶液管道流量,4,20,mA,1,6201-FI-12942,%%IFI12942,IOPE=Yes,SIOP=-6.3 106.3
%Z013114,1,1,AI spare,4,20,mA,1,F0104N1S3C14,,IOPE=Yes,SIOP=-6.3 106.3
%Z013115,1,1,AI spare,4,20,mA,1,F0104N1S3C15,,IOPE=Yes,SIOP=-6.3 106.3
%Z013116,1,1,AI spare,4,20,mA,1,F0104N1S3C16,,IOPE=Yes,SIOP=-6.3 106.3
@SHEET,2,HART Variable
@Terminal,Channel,Data,Polling Address,Service Comment,P&ID Tag Name,Label
%Z013201,,,,,,
%Z013202,,,,,,
%Z013203,,,,,,
%Z013204,,,,,,
%Z013205,,,,,,
%Z013206,,,,,,
%Z013207,,,,,,
%Z013208,,,,,,
%Z013209,,,,,,
%Z013210,,,,,,
%Z013211,,,,,,
%Z013212,,,,,,
%Z013213,,,,,,
%Z013214,,,,,,
%Z013215,,,,,,
%Z013216,,,,,,
%Z013217,,,,,,
%Z013218,,,,,,
%Z013229,,,,,,
%Z013220,,,,,,
%Z013221,,,,,,
%Z013222,,,,,,
%Z013223,,,,,,
%Z013224,,,,,,
%Z013225,,,,,,
%Z013226,,,,,,
%Z013227,,,,,,
%Z013228,,,,,,
%Z013229,,,,,,
%Z013230,,,,,,
%Z013231,,,,,,
%Z013232,,,,,,
