@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,,
@ID,BKEEdtAnMsg,,,,,,,,,
@SHEET,1,Annunciator Builder,,,,,,,,
@DATE,2020/1/1,15:00,,,,,,,,
@Element Number,Message,Tag Name,Switch Position Label,Label,Lvl,Tag Mark,Alarm Level,Upper Window,Help,Upper equipment name
%AN0001,#2交流润滑泵周期切换失败,2MKV21AP001AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0002,#2油烟风机周期切换失败,2MKV50AN001AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0003,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0004,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0005,润滑油压力联锁自检失败1,FCS0105DR91AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0006,润滑油压力联锁自检失败2,FCS0105DR91AN2,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0007,润滑油压力联锁自检失败3,FCS0105DR91AN3,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0008,润滑油压力联锁自检失败4,FCS0105DR91AN4,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0009,润滑油压力联锁自检失败5,FCS0105DR91AN5,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0010,润滑油压力联锁自检失败6,FCS0105DR91AN6,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0011,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0012,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0013,顶轴油压力联锁自检失败1,FCS0105DR92AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0014,顶轴油压力联锁自检失败2,FCS0105DR92AN2,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0015,顶轴油压力联锁自检失败3,FCS0105DR92AN3,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0016,顶轴油压力联锁自检失败4,FCS0105DR92AN4,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0017,顶轴油压力联锁自检失败5,FCS0105DR92AN5,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0018,顶轴油压力联锁自检失败6,FCS0105DR92AN6,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0019,顶轴油压力联锁自检失败7,FCS0105DR92AN7,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0020,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0021,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0022,供油压力低跳机自检失败1,FCS0105DR93AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0023,供油压力低跳机自检失败2,FCS0105DR93AN2,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0024,供油压力低跳机自检失败3,FCS0105DR93AN3,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0025,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0026,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0027,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0028,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0029,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0030,#2润滑油箱真空异常,2MKV50CP101AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0031,,,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0032,#2润滑油箱液位低II值报警,2MKV10CL101AN1,"ON,,OFF,ON",1,4,2,2,,HW0000,
%AN0033,#2润滑油箱液位低I值报警,2MKV10CL101AN2,"ON,,OFF,ON",1,4,2,2,,HW0000,
