@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,
@ID,8480,,,,,,,,
@SHEET,1,TRENDGET,,,,,,,
@DATE,2019/12/25,16:08,,,,,,,
@Group Number,Pen Number,Acquisition Data,Span Change,Low limit,High limit,Data type,Hourly,Daily,Monthly
1,1,1MKA16CS101.PV,0,,,Default,1,1,1
1,2,1MKA16CS102.PV,0,,,Default,1,1,1
1,3,1MKD12CT101A.PV,0,,,Default,1,1,1
1,4,1MKD12CT101B.PV,0,,,Default,1,1,1
1,5,1MKD12CT101C.PV,0,,,Default,1,1,1
1,6,1MKD11CT102A.PV,0,,,Default,1,1,1
1,7,1MKD11CT102B.PV,0,,,Default,1,1,1
1,8,1MKD11CT102C.PV,0,,,Default,1,1,1
2,1,1MKD12CY101.PV,0,,,Default,1,1,1
2,2,1MKD12CY102.PV,0,,,Default,1,1,1
2,3,1MKD12CY103.PV,0,,,Default,1,1,1
2,4,1MKD12CY104.PV,0,,,Default,1,1,1
2,5,1MKD11CY101.PV,0,,,Default,1,1,1
2,6,1MKD11CY102.PV,0,,,Default,1,1,1
2,7,1MKD11CY103.PV,0,,,Default,1,1,1
2,8,1MKD11CY104.PV,0,,,Default,1,1,1
3,1,1MKA21CT101AVE.CPV,0,,,Default,1,1,1
3,2,1MKA20CT101AVE.CPV,0,,,Default,1,1,1
3,3,1MKA22CT101AVE.CPV,0,,,Default,1,1,1
3,4,1MKD12CT103.PV,0,,,Default,1,1,1
3,5,1MKD11CT104.PV,0,,,Default,1,1,1
3,6,1MKA16CS104.PV,0,,,Default,1,1,1
3,7,1MKA16CS105.PV,0,,,Default,1,1,1
3,8,1MKA16CS106.PV,0,,,Default,1,1,1
4,1,1MKA39CT105.PV,0,,,Default,1,1,1
4,2,1MKA39CT106.PV,0,,,Default,1,1,1
4,3,1MKA39CT107.PV,0,,,Default,1,1,1
4,4,1MKA39CT108.PV,0,,,Default,1,1,1
4,5,1MKA39CT113.PV,0,,,Default,1,1,1
4,6,1MKA39CT114.PV,0,,,Default,1,1,1
4,7,1MKA39CT115.PV,0,,,Default,1,1,1
4,8,1MKA39CT116.PV,0,,,Default,1,1,1
5,1,1MKA34CT153.PV,0,,,Default,1,1,1
5,2,1MKA34CT155.PV,0,,,Default,1,1,1
5,3,1MKA34CT154.PV,0,,,Default,1,1,1
5,4,1MKA34CT156.PV,0,,,Default,1,1,1
5,5,1MKA38CT181.PV,0,,,Default,1,1,1
5,6,1MKA38CT182.PV,0,,,Default,1,1,1
5,7,1MKA38CT183.PV,0,,,Default,1,1,1
5,8,1MKA38CT184.PV,0,,,Default,1,1,1
6,1,1MKA38CT165.PV,0,,,Default,1,1,1
