@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,
6,2,1MKA38CT166.PV,0,,,Default,1,1,1
6,3,1MKA38CT167.PV,0,,,Default,1,1,1
6,4,1MKA38CT168.PV,0,,,Default,1,1,1
6,5,1MKA34CT161.PV,0,,,Default,1,1,1
6,6,1MKA34CT162.PV,0,,,Default,1,1,1
6,7,1MKA34CT163.PV,0,,,Default,1,1,1
6,8,1MKA34CT164.PV,0,,,Default,1,1,1
7,1,1MKA39CT101.PV,0,,,Default,1,1,1
7,2,1MKA39CT102.PV,0,,,Default,1,1,1
7,3,1MKA39CT103.PV,0,,,Default,1,1,1
7,4,1MKA39CT104.PV,0,,,Default,1,1,1
7,5,1MKA39CT109.PV,0,,,Default,1,1,1
7,6,1MKA39CT110.PV,0,,,Default,1,1,1
7,7,1MKA39CT111.PV,0,,,Default,1,1,1
7,8,1MKA39CT112.PV,0,,,Default,1,1,1
8,1,1MKA34CT149.PV,0,,,Default,1,1,1
8,2,1MKA34CT151.PV,0,,,Default,1,1,1
8,3,1MKA34CT157.PV,0,,,Default,1,1,1
8,4,1MKA34CT159.PV,0,,,Default,1,1,1
8,5,1MKA34CT150.PV,0,,,Default,1,1,1
8,6,1MKA34CT152.PV,0,,,Default,1,1,1
8,7,1MKA34CT158.PV,0,,,Default,1,1,1
8,8,1MKA34CT160.PV,0,,,Default,1,1,1
9,1,1MKC01CQ004XQ01A.PV,0,,,Default,1,1,1
9,2,1MKC01CQ004XQ01B.PV,0,,,Default,1,1,1
9,3,1MKC01CQ001XQ01A.PV,0,,,Default,1,1,1
9,4,1MKC01CQ001XQ01B.PV,0,,,Default,1,1,1
9,5,1MKC01CQ002XQ01A.PV,0,,,Default,1,1,1
9,6,1MKC01CQ002XQ01B.PV,0,,,Default,1,1,1
9,7,1MKC01CQ003XQ01A.PV,0,,,Default,1,1,1
9,8,1MKC01CQ003XQ01B.PV,0,,,Default,1,1,1
10,1,YBBT01CT001XQ01A.PV,0,,,Default,1,1,1
10,2,YBBT01CT001XQ02A.PV,0,,,Default,1,1,1
10,3,YBBT01CT001XQ01B.PV,0,,,Default,1,1,1
10,4,YBBT01CT001XQ02B.PV,0,,,Default,1,1,1
10,5,YBBT01CT001XQ03A.PV,0,,,Default,1,1,1
10,6,YBBT01CT001XQ03B.PV,0,,,Default,1,1,1
10,7,1MKC75CT102.PV,0,,,Default,1,1,1
10,8,1MKC76CT101.PV,0,,,Default,1,1,1
11,1,1MKF16CF101.PV,0,,,Default,1,1,1
11,2,1MKF47CP101.PV,0,,,Default,1,1,1
11,3,1MKF47CP102.PV,0,,,Default,1,1,1
11,4,1MKF05CL101.PV,0,,,Default,1,1,1
11,5,1MKF05CL102.PV,0,,,Default,1,1,1
11,6,1MKF46CT101.PV,0,,,Default,1,1,1
11,7,1MKF46CT102.PV,0,,,Default,1,1,1
12,1,1MKF49CT101.PV,0,,,Default,1,1,1
12,2,1MKF49CT102.PV,0,,,Default,1,1,1
12,3,1MKF18CQ101A.PV,0,,,Default,1,1,1
12,4,1MKF18CQ101B.PV,0,,,Default,1,1,1
12,5,1MKF48CP101.PV,0,,,Default,1,1,1
12,6,1MKF48CP102.PV,0,,,Default,1,1,1
13,1,1MKF66CF101.PV,0,,,Default,1,1,1
13,2,1MKF88CP101.PV,0,,,Default,1,1,1
13,3,1MKF88CP102.PV,0,,,Default,1,1,1
13,4,1MKF55CL101.PV,0,,,Default,1,1,1
13,5,1MKF55CL102.PV,0,,,Default,1,1,1
13,6,1MKF84CT101.PV,0,,,Default,1,1,1
13,7,1MKF84CT102.PV,0,,,Default,1,1,1
14,1,1MKF92CT101.PV,0,,,Default,1,1,1
14,2,1MKF92CT102.PV,0,,,Default,1,1,1
14,3,1MKF68CQ101A.PV,0,,,Default,1,1,1
14,4,1MKF68CQ101B.PV,0,,,Default,1,1,1
14,5,1MKF16CF101.PV,0,,,Default,1,1,1
15,1,1MKV26CP101.PV,0,,,Default,1,1,1
15,2,1MKV26CT101A.PV,0,,,Default,1,1,1
15,3,1MKV26CT101B.PV,0,,,Default,1,1,1
15,4,1MKV26CT102B.PV,0,,,Default,1,1,1
15,5,1MKV10CL101.PV,0,,,Default,1,1,1
15,6,1MKV10CL102.PV,0,,,Default,1,1,1
15,7,1MKV10CL103.PV,0,,,Default,1,1,1
15,8,1MKV30CP101.PV,0,,,Default,1,1,1
16,1,1MKV10CT101A.PV,0,,,Default,1,1,1
16,2,1MKV10CT101B.PV,0,,,Default,1,1,1
16,3,1MKV10CT102A.PV,0,,,Default,1,1,1
16,4,1MKV10CT102B.PV,0,,,Default,1,1,1
