@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:13
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z023101,1,SI,6200-YSHA-FV-14103,6200YSHAFV14103,1#炉电除尘输灰就地/远方2,"ON,,OFF,ON",1,R,R,4,2,,
%Z023102,1,SI,6200-LA-FV-14103,6200LAFV14103,1#炉电除尘输灰3#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z023103,1,SI,6200-YPA-FV-14103,6200YPAFV14103,1#炉电除尘34进料阀密封压,"ON,,OFF,ON",1,R,R,4,2,,
%Z023104,1,SI,6200-XLO-11713,6200XLO11713,1#炉电除输灰3#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023105,1,SI,6200-XLC-11713,6200XLC11713,1#炉电除输灰3#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023106,1,SI,6200-XLO-11714,6200XLO11714,1#炉电除输灰3#平衡阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023107,1,SI,6200-XLC-11714,6200XLC11714,1#炉电除输灰3#平衡阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023108,1,SI,6200-LA-FV-14104,6200LAFV14104,1#炉电除尘输灰4#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z023109,1,SI,6200-XLO-11715,6200XLO11715,1#炉电除输灰4#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023110,1,SI,6200-XLC-11715,6200XLC11715,1#炉电除输灰4#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023111,1,SI,6200-XLO-11716,6200XLO11716,1#炉电除输灰4#平衡阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023112,1,SI,6200-XLC-11716,6200XLC11716,1#炉电除输灰4#平衡阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023113,1,SI,6200-XLO-11717,6200XLO11717,1#炉电除尘输灰出料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023114,1,SI,6200-XLC-11717,6200XLC11717,1#炉电除尘输灰出料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023115,1,SI,6200-XLO-11718,6200XLO11718,1#炉电除尘输灰助吹阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023116,1,SI,6200-XLC-11718,6200XLC11718,1#炉电除尘输灰助吹阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023117,1,SI,6200-XLO-11719,6200XLO11719,1#炉电除尘输灰排堵阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023118,1,SI,6200-XLC-11719,6200XLC11719,1#炉电除尘输灰排堵阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023119,1,SI,6200-YSHA-11701,6200YSHA11701,1#炉切换阀就地/远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z023120,1,SI,6200-XLO-11739,6200XLO11739,1#炉电区切换阀1开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023121,1,SI,6200-XLC-11739,6200XLC11739,1#炉电区切换阀1关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023122,1,SI,6200-XLO-11740,6200XLO11740,1#炉电区切换阀2开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023123,1,SI,6200-XLC-11740,6200XLC11740,1#炉电区切换阀2关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023124,1,SI,6200-XLO-11741,6200XLO11741,1#炉袋区切换阀1开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023125,1,SI,6200-XLC-11741,6200XLC11741,1#炉袋区切换阀1关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023126,1,SI,6200-XLO-11742,6200XLO11742,1#炉袋区切换阀2开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023127,1,SI,6200-XLC-11742,6200XLC11742,1#炉袋区切换阀2关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023128,1,SI,F0112N2S3C28,F0112N2S3C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023129,1,SI,F0112N2S3C29,F0112N2S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023130,1,SI,F0112N2S3C30,F0112N2S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023131,1,SI,F0112N2S3C31,F0112N2S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023132,1,SI,F0112N2S3C32,F0112N2S6C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
