@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:15
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z033101,1,SI,6200-YSHA-FV-14109,6200YSHAFV14109,1#炉布袋2输灰就地/远方1,"ON,,OFF,ON",1,R,R,4,2,,
%Z033102,1,SI,6200-XLO-11729,6200XLO11729,1#炉布袋2输灰进气阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033103,1,SI,6200-XLC-11729,6200XLC11729,1#炉布袋2输灰进气阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033104,1,SI,6200-XLO-11730,6200XLO11730,1#炉布袋2输灰补气阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033105,1,SI,6200-XLC-11730,6200XLC11730,1#炉布袋2输灰补气阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033106,1,SI,6200-LA-FV-14109,6200LAFV14109,1#炉布袋2输灰1#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z033107,1,SI,6200-YPA-FV-14109,6200YPAFV14109,1炉布2输灰12进料阀密封压,"ON,,OFF,ON",1,R,R,4,2,,
%Z033108,1,SI,6200-XLO-11731,6200XLO11731,1#炉布袋2输灰1#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033109,1,SI,6200-XLC-11731,6200XLC11731,1#炉布袋2输灰1#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033110,1,SI,6200-XLO-11732,6200XLO11732,1#炉布袋2输灰1#平衡阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033111,1,SI,6200-XLC-11732,6200XLC11732,1#炉布袋2输灰1#平衡阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033112,1,SI,6200-XLO-11733,6200XLO11733,1#炉布袋2输灰2#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033113,1,SI,6200-XLC-11733,6200XLC11733,1#炉布袋2输灰2#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033114,1,SI,6200-YSHA-FV-14111,6200YSHAFV14111,1#炉布袋2输灰就地/远方2,"ON,,OFF,ON",1,R,R,4,2,,
%Z033115,1,SI,6200-LA-FV-14111,6200LAFV14111,1#炉布袋2输灰3#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z033116,1,SI,6200-YPA-FV-14111,6200YPAFV14111,1炉布2输灰34进料阀密封压,"ON,,OFF,ON",1,R,R,4,2,,
%Z033117,1,SI,6200-XLO-11734,6200XLO11734,1#炉布袋2输灰3#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033118,1,SI,6200-XLC-11734,6200XLC11734,1#炉布袋2输灰3#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033119,1,SI,6200-XLO-11735,6200XLO11735,1#炉布袋2输灰3#平衡阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033120,1,SI,6200-XLC-11735,6200XLC11735,1#炉布袋2输灰3#平衡阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033121,1,SI,6200-XLO-11736,6200XLO11736,1#炉布袋2输灰4#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033122,1,SI,6200-XLC-11736,6200XLC11736,1#炉布袋2输灰4#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033123,1,SI,6200-XLO-11737,6200XLO11737,1#炉布袋2输灰出料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033124,1,SI,6200-XLC-11737,6200XLC11737,1#炉布袋2输灰出料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033125,1,SI,6200-XLO-11738,6200XLO11738,1#炉布袋2输灰排堵阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z033126,1,SI,6200-XLC-11738,6200XLC11738,1#炉布袋2输灰排堵阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z033127,1,SI,F0112N3S3C27,F0112N3S3C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z033128,1,SI,F0112N3S3C28,F0112N3S3C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z033129,1,SI,F0112N3S3C29,F0112N3S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z033130,1,SI,F0112N3S3C30,F0112N3S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z033131,1,SI,F0112N3S3C31,F0112N3S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z033132,1,SI,F0112N3S3C32,F0112N3S4C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
