@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:13
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z022101,1,SI,6200-YSHA-FV-14113,6200YSHAFV14113,1#炉省煤器输灰就地/远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z022102,1,SI,6200-XLO-11701,6200XLO11701,1#炉省煤器输灰进气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022103,1,SI,6200-XLC-11701,6200XLC11701,1#炉省煤器输灰进气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022104,1,SI,6200-XLO-11702,6200XLO11702,1#炉省煤器输灰补气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022105,1,SI,6200-XLC-11702,6200XLC11702,1#炉省煤器输灰补气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022106,1,SI,6200-XLO-11703,6200XLO11703,1#炉省煤输灰1#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022107,1,SI,6200-XLC-11703,6200XLC11703,1#炉省煤输灰1#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022108,1,SI,6200-XLO-11704,6200XLO11704,1#炉省煤输灰2#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022109,1,SI,6200-XLC-11704,6200XLC11704,1#炉省煤输灰2#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022110,1,SI,6200-XLO-11705,6200XLO11705,1#炉省煤器输灰出料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022111,1,SI,6200-XLC-11705,6200XLC11705,1#炉省煤器输灰出料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022112,1,SI,6200-XLO-11706,6200XLO11706,1#炉省煤器输灰排堵阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022113,1,SI,6200-XLC-11706,6200XLC11706,1#炉省煤器输灰排堵阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022114,1,SI,6200-YSHA-FV-14101,6200YSHAFV14101,1#炉电除尘输灰就地/远方1,"ON,,OFF,ON",1,R,R,4,2,,
%Z022115,1,SI,6200-XLO-11707,6200XLO11707,1#炉电除尘输灰进气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022116,1,SI,6200-XLC-11707,6200XLC11707,1#炉电除尘输灰进气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022117,1,SI,6200-XLO-11708,6200XLO11708,1#炉电除尘输灰补气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022118,1,SI,6200-XLC-11708,6200XLC11708,1#炉电除尘输灰补气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022119,1,SI,6200-LA-FV-14101,6200LAFV14101,1#炉电除尘输灰1#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z022120,1,SI,6200-YPA-FV-14101,6200YPAFV14101,1#炉电除输灰12进料阀密封,"ON,,OFF,ON",1,R,R,4,2,,
%Z022121,1,SI,6200-XLO-11709,6200XLO11709,1#炉电除输灰1#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022122,1,SI,6200-XLC-11709,6200XLC11709,1#炉电除输灰1#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022123,1,SI,6200-XLO-11710,6200XLO11710,1#炉电除输灰1#平衡阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022124,1,SI,6200-XLC-11710,6200XLC11710,1#炉电除输灰1#平衡阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022125,1,SI,6200-LA-FV-14102,6200LAFV14102,1#炉电除尘输灰2#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z022126,1,SI,6200-XLO-11711,6200XLO11711,1#炉电除输灰2#进料阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022127,1,SI,6200-XLC-11711,6200XLC11711,1#炉电除输灰2#进料阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022128,1,SI,6200-XLO-11712,6200XLO11712,1#炉电除输灰2#平衡阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z022129,1,SI,6200-XLC-11712,6200XLC11712,1#炉电除输灰2#平衡阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z022130,1,SI,F0112N2S2C30,F0112N2S2C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z022131,1,SI,F0112N2S2C31,F0112N2S2C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z022132,1,SI,F0112N2S2C32,F0112N2S2C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
