@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:14
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z032101,1,SI,6200-YSHA-FV-14105,6200YSHAFV14105,1#炉布袋1输灰就地/远方1,"ON,,OFF,ON",1,R,R,4,2,,
%Z032102,1,SI,6200-XLO-11720,6200XLO11720,1#炉布袋1输灰进气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032103,1,SI,6200-XLC-11720,6200XLC11720,1#炉布袋1输灰进气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032104,1,SI,6200-XLO-11721,6200XLO11721,1#炉布袋1输灰补气阀已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032105,1,SI,6200-XLC-11721,6200XLC11721,1#炉布袋1输灰补气阀已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032106,1,SI,6200-LA-FV-14105,6200LAFV14105,1#炉布袋1输灰1#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z032107,1,SI,6200-YPA-FV-14105,6200YPAFV14105,1炉布1输灰12进料阀密封压,"ON,,OFF,ON",1,R,R,4,2,,
%Z032108,1,SI,6200-XLO-11722,6200XLO11722,1#炉布袋1输灰1#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032109,1,SI,6200-XLC-11722,6200XLC11722,1#炉布袋1输灰1#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032110,1,SI,6200-XLO-11723,6200XLO11723,1#炉布袋1输灰1#平衡阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032111,1,SI,6200-XLC-11723,6200XLC11723,1#炉布袋1输灰1#平衡阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032112,1,SI,6200-XLO-11724,6200XLO11724,1#炉布袋1输灰2#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032113,1,SI,6200-XLC-11724,6200XLC11724,1#炉布袋1输灰2#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032114,1,SI,6200-YSHA-FV-14107,6200YSHAFV14107,1#炉布袋1输灰就地/远方2,"ON,,OFF,ON",1,R,R,4,2,,
%Z032115,1,SI,6200-LA-FV-14107,6200LAFV14107,1#炉布袋1输灰3#料位信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z032116,1,SI,6200-YPA-FV-14107,6200YPAFV14107,1炉布1输灰34进料阀密封压,"ON,,OFF,ON",1,R,R,4,2,,
%Z032117,1,SI,6200-XLO-11725,6200XLO11725,1#炉布袋1输灰3#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032118,1,SI,6200-XLC-11725,6200XLC11725,1#炉布袋1输灰3#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032119,1,SI,6200-XLO-11726,6200XLO11726,1#炉布袋1输灰3#平衡阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032120,1,SI,6200-XLC-11726,6200XLC11726,1#炉布袋1输灰3#平衡阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032121,1,SI,6200-XLO-11727,6200XLO11727,1#炉布袋1输灰4#进料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032122,1,SI,6200-XLC-11727,6200XLC11727,1#炉布袋1输灰4#进料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032123,1,SI,6200-XLO-11728,6200XLO11728,1#炉布袋1输灰出料阀开,"ON,,OFF,ON",1,R,R,4,2,,
%Z032124,1,SI,6200-XLC-11728,6200XLC11728,1#炉布袋1输灰出料阀关,"ON,,OFF,ON",1,R,R,4,2,,
%Z032125,1,SI,F0112N3S2C25,F0112N3S2C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032126,1,SI,F0112N3S2C26,F0112N3S2C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032127,1,SI,F0112N3S2C27,F0112N3S2C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032128,1,SI,F0112N3S2C28,F0112N3S2C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032129,1,SI,F0112N3S2C29,F0112N3S2C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032130,1,SI,F0112N3S2C30,F0112N3S2C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032131,1,SI,F0112N3S2C31,F0112N3S2C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z032132,1,SI,F0112N3S2C32,F0112N3S3C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
