@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:12
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z012101,1,SI,6200-YSA11-DC-1101,6200YSA11DC1101,#1炉MCC主电源失电报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z012102,1,SI,6200-YSA12-DC-1101,6200YSA12DC1101,#1炉MCC备电源失电报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z012103,1,SI,6200-YSL1A-DC-1101,6200YSL1ADC1101,#1炉#1炉一室阴打电机运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012104,1,SI,6200-YSHA1A-DC-1101,6200YSHA1ADC1101,#1炉#1炉一室阴打电机远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012105,1,SI,6200-YSA1A-DC-1101,6200YSA1ADC1101,#1炉一室阴打电机故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z012106,1,SI,6200-YSL1B-DC-1101,6200YSL1BDC1101,#1炉一室阳打电机运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012107,1,SI,6200-YSHA1B-DC-1101,6200YSHA1BDC1101,#1炉一室阳打电机远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012108,1,SI,6200-YSA1B-DC-1101,6200YSA1BDC1101,#1炉一室阳打电机故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z012109,1,SI,6200-YSL2A-DC-1101,6200YSL2ADC1101,#1炉二室阴打电机运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012110,1,SI,6200-YSHA2A-DC-1101,6200YSHA2ADC1101,#1炉二室阴打电机远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012111,1,SI,6200-YSA2A-DC-1101,6200YSA2ADC1101,#1炉二室阴打电机故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z012112,1,SI,6200-YSL2B-DC-1101,6200YSL2BDC1101,#1炉二室阳打电机运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012113,1,SI,6200-YSHA2B-DC-1101,6200YSHA2BDC1101,#1炉二室阳打电机远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012114,1,SI,6200-YSA2B-DC-1101,6200YSA2BDC1101,#1炉二室阳打电机故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z012115,1,SI,6200-YSL3A-DC-1101,6200YSL3ADC1101,#1炉一室绝缘子加热运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012116,1,SI,6200-YSHA3A-DC-1101,6200YSHA3ADC1101,#1炉一室绝缘子加热远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012117,1,SI,6200-YSL3B-DC-1101,6200YSL3BDC1101,#1炉二室绝缘子加热运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012118,1,SI,6200-YSHA3B-DC-1101,6200YSHA3BDC1101,#1炉二室绝缘子加热远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012119,1,SI,6200-YSL4A-DC-1101,6200YSL4ADC1101,#1炉一室灰斗电加热运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012120,1,SI,6200-YSHA4A-DC-1101,6200YSHA4ADC1101,#1炉一室灰斗电加热远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012121,1,SI,6200-YSL4B-DC-1101,6200YSL4BDC1101,#1炉二室灰斗电加热运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z012122,1,SI,6200-YSHA4B-DC-1101,6200YSHA4BDC1101,#1炉二室灰斗电加热远方,"ON,,OFF,ON",1,R,R,4,2,,
%Z012123,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012124,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012125,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012126,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012127,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012128,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012129,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012130,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012131,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z012132,1,SI,,,,"ON,,OFF,ON",1,R,R,4,2,,
