@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
%OG0077,20MKF12AP001XB12-A  停止定子冷却水泵B指令1  动作,W,,
%OG0078,20MKF62AP001XB11-A  启动转子冷却水泵B指令1  动作,W,,
%OG0079,20MKF62AP001XB12-A  停止转子冷却水泵B指令1  动作,W,,
%OG0080,20MKF11AP001XB11-B  启动定子冷却水泵A指令2  动作,W,,
%OG0081,20MKF11AP001XB12-B  停止定子冷却水泵A指令2  动作,W,,
%OG0082,20MKF61AP001XB11-B  启动转子冷却水泵A指令2  动作,W,,
%OG0083,20MKF61AP001XB12-B  停止转子冷却水泵A指令2  动作,W,,
%OG0084,20MKF12AP001XB11-B  启动定子冷却水泵B指令2  动作,W,,
%OG0085,20MKF12AP001XB12-B  停止定子冷却水泵B指令2  动作,W,,
%OG0086,20MKF62AP001XB11-B  启动转子冷却水泵B指令2  动作,W,,
%OG0087,20MKF62AP001XB12-B  停止转子冷却水泵B指令2  动作,W,,
%OG0088,20CBA02CHC01S001 热工保护信号4(油位低轴瓦温度高等)至电气保护C1屏 动作,W,,
%OG0089,20CBA02CHC02S001 热工保护信号5(油位低轴瓦温度高等)至电气保护C1屏 动作,W,,
%OG0090,20CBA02CHC03S001 热工保护信号6(油位低轴瓦温度高等)至电气保护C1屏 动作,W,,
%OG0091,20GCK31AA002XB11  定子冷却水箱补水电动门开指令  动作,W,,
%OG0092,20GCK31AA002XB12  定子冷却水箱补水电动门关指令  动作,W,,
%OG0093,20CDP11XB11  盘车装置启动指令  动作,W,,
%OG0094,20CDP11XB12  盘车装置停止指令  动作,W,,
%OG0095,20CDP11XB13  调相机零转速  动作,W,,
%OG0096,20CDP11XB14  盘车装置DCS许可启动指令  动作,W,,
%OG0097,20CDP11XB15  盘车装置高压顶轴油有压正常  动作,W,,
%OG0098,20CDP11XB16  盘车装置风机启动指令  动作,W,,
%OG0099,20CDP11XB17  盘车装置风机停止指令  动作,W,,
%OG0100,20MKF19AA131XB11  定子线圈进水处取样电磁阀开指令  返回,W,,
%OG0101,20CBA00MKF26S001  定子冷却水泵A或B运行  返回,W,,
