@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
%OG0774,,W,,
%OG0775,,W,,
%OG0776,,W,,
%OG0777,,W,,
%OG0778,,W,,
%OG0779,,W,,
%OG0780,,W,,
%OG0781,,W,,
%OG0782,,W,,
%OG0783,,W,,
%OG0784,,W,,
%OG0785,,W,,
%OG0786,,W,,
%OG0787,,W,,
%OG0788,,W,,
%OG0789,,W,,
%OG0790,,W,,
%OG0791,,W,,
%OG0792,,W,,
%OG0793,,W,,
%OG0794,,W,,
%OG0795,,W,,
%OG0796,,W,,
%OG0797,,W,,
%OG0798,,W,,
%OG0799,,W,,
%OG0800,,W,,
%OG0801,,W,,
%OG0802,,W,,
%OG0803,,W,,
%OG0804,,W,,
%OG0805,,W,,
%OG0806,,W,,
%OG0807,,W,,
%OG0808,,W,,
%OG0809,,W,,
%OG0810,,W,,
%OG0811,,W,,
%OG0812,,W,,
%OG0813,,W,,
%OG0814,,W,,
%OG0815,,W,,
%OG0816,,W,,
%OG0817,,W,,
%OG0818,,W,,
%OG0819,,W,,
%OG0820,,W,,
%OG0821,,W,,
%OG0822,,W,,
%OG0823,,W,,
%OG0824,,W,,
%OG0825,,W,,
%OG0826,,W,,
%OG0827,,W,,
%OG0828,,W,,
%OG0829,,W,,
%OG0830,,W,,
%OG0831,,W,,
%OG0832,,W,,
%OG0833,,W,,
%OG0834,,W,,
%OG0835,,W,,
%OG0836,,W,,
%OG0837,,W,,
%OG0838,,W,,
%OG0839,,W,,
%OG0840,,W,,
%OG0841,,W,,
%OG0842,,W,,
%OG0843,,W,,
%OG0844,,W,,
%OG0845,,W,,
%OG0846,,W,,
%OG0847,,W,,
%OG0848,,W,,
%OG0849,,W,,
%OG0850,,W,,
%OG0851,,W,,
%OG0852,,W,,
%OG0853,,W,,
%OG0854,,W,,
%OG0855,,W,,
%OG0856,,W,,
%OG0857,,W,,
%OG0858,,W,,
%OG0859,,W,,
%OG0860,,W,,
%OG0861,,W,,
%OG0862,,W,,
%OG0863,,W,,
%OG0864,,W,,
%OG0865,,W,,
%OG0866,,W,,
%OG0867,,W,,
%OG0868,,W,,
%OG0869,,W,,
%OG0870,,W,,
%OG0871,,W,,
%OG0872,,W,,
%OG0873,,W,,
%OG0874,,W,,
%OG0875,,W,,
%OG0876,,W,,
%OG0877,,W,,
%OG0878,,W,,
%OG0879,,W,,
%OG0880,,W,,
%OG0881,,W,,
%OG0882,,W,,
%OG0883,,W,,
%OG0884,,W,,
%OG0885,,W,,
%OG0886,,W,,
%OG0887,,W,,
%OG0888,,W,,
%OG0889,,W,,
%OG0890,,W,,
%OG0891,,W,,
%OG0892,,W,,
%OG0893,,W,,
%OG0894,,W,,
%OG0895,,W,,
%OG0896,,W,,
%OG0897,,W,,
%OG0898,,W,,
%OG0899,,W,,
%OG0900,,W,,
%OG0901,,W,,
%OG0902,,W,,
%OG0903,,W,,
%OG0904,,W,,
%OG0905,,W,,
%OG0906,,W,,
%OG0907,,W,,
%OG0908,,W,,
%OG0909,,W,,
%OG0910,,W,,
%OG0911,,W,,
%OG0912,,W,,
%OG0913,,W,,
%OG0914,,W,,
%OG0915,,W,,
%OG0916,,W,,
%OG0917,,W,,
%OG0918,,W,,
%OG0919,,W,,
%OG0920,,W,,
%OG0921,,W,,
%OG0922,,W,,
%OG0923,,W,,
%OG0924,,W,,
%OG0925,,W,,
%OG0926,,W,,
%OG0927,,W,,
%OG0928,,W,,
%OG0929,,W,,
%OG0930,,W,,
%OG0931,,W,,
%OG0932,,W,,
%OG0933,,W,,
%OG0934,,W,,
%OG0935,,W,,
%OG0936,,W,,
%OG0937,,W,,
%OG0938,,W,,
%OG0939,,W,,
%OG0940,,W,,
%OG0941,,W,,
%OG0942,,W,,
%OG0943,,W,,
%OG0944,,W,,
%OG0945,,W,,
%OG0946,,W,,
%OG0947,,W,,
%OG0948,,W,,
%OG0949,,W,,
%OG0950,,W,,
%OG0951,,W,,
%OG0952,,W,,
%OG0953,,W,,
%OG0954,,W,,
%OG0955,,W,,
%OG0956,,W,,
%OG0957,,W,,
%OG0958,,W,,
%OG0959,,W,,
%OG0960,,W,,
%OG0961,,W,,
%OG0962,,W,,
%OG0963,,W,,
%OG0964,,W,,
%OG0965,,W,,
%OG0966,,W,,
%OG0967,,W,,
%OG0968,,W,,
%OG0969,,W,,
%OG0970,,W,,
%OG0971,,W,,
%OG0972,,W,,
%OG0973,,W,,
%OG0974,,W,,
%OG0975,,W,,
%OG0976,,W,,
%OG0977,,W,,
%OG0978,,W,,
%OG0979,,W,,
%OG0980,,W,,
%OG0981,,W,,
%OG0982,,W,,
%OG0983,,W,,
%OG0984,,W,,
%OG0985,,W,,
%OG0986,,W,,
%OG0987,,W,,
%OG0988,,W,,
%OG0989,,W,,
%OG0990,,W,,
%OG0991,,W,,
%OG0992,,W,,
%OG0993,,W,,
%OG0994,,W,,
%OG0995,,W,,
%OG0996,,W,,
%OG0997,,W,,
%OG0998,,W,,
%OG0999,,W,,
%OG1000,,W,,
