@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:20
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z047101,2,SO,6200-YHS-1-1A1,6200YHS11A1,1#FGD£¨AËþ£©ÇëÇóÌøÕ¢1,"ON,,OFF,ON",1,R,R,4,2,,
%Z047102,2,SO,6200-YHS-1-1B1,6200YHS11B1,1#FGD£¨AËþ£©ÇëÇóÌøÕ¢2,"ON,,OFF,ON",1,R,R,4,2,,
%Z047103,2,SO,6200-YHS-1-1C1,6200YHS11C1,1#FGD£¨AËþ£©ÇëÇóÌøÕ¢3,"ON,,OFF,ON",1,R,R,4,2,,
%Z047104,2,SO,6200-YHS-1-2A1,6200YHS12A1,1#FGD£¨AËþ£©ÌøÕ¢×´Ì¬1,"ON,,OFF,ON",1,R,R,4,2,,
%Z047105,2,SO,6200-YHS-1-2B1,6200YHS12B1,1#FGD£¨AËþ£©ÌøÕ¢×´Ì¬2,"ON,,OFF,ON",1,R,R,4,2,,
%Z047106,2,SO,6200-YHS-1-2C1,6200YHS12C1,1#FGD£¨AËþ£©ÌøÕ¢×´Ì¬3,"ON,,OFF,ON",1,R,R,4,2,,
%Z047107,2,SO,6200-YYO-P-1811E,6200YYOP1811E,AËþÑ­»·½¬Òº±ÃEºÏÕ¢ÃüÁî,"ON,,OFF,ON",1,R,R,4,2,,
%Z047108,2,SO,6200-YYC-P-1811E,6200YYCP1811E,AËþÑ­»·½¬Òº±ÃE·ÖÕ¢ÃüÁî,"ON,,OFF,ON",1,R,R,4,2,,
%Z047109,2,SO,6200-YYO-A-1811C,6200YYOA1811C,AËþ½Á°èÆ÷CÆô¶¯ÃüÁî,"ON,,OFF,ON",1,R,R,4,2,,
%Z047110,2,SO,6200-YYC-A-1811C,6200YYCA1811C,AËþ½Á°èÆ÷C·ÖÕ¢ÃüÁî,"ON,,OFF,ON",1,R,R,4,2,,
%Z047111,2,SO,F0115N4S7C11,F0115N4S7C11,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047112,2,SO,F0115N4S7C12,F0115N4S7C12,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047113,2,SO,F0115N4S7C13,F0115N4S7C13,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047114,2,SO,F0115N4S7C14,F0115N4S7C14,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047115,2,SO,F0115N4S7C15,F0115N4S7C15,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047116,2,SO,F0115N4S7C16,F0115N4S7C16,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047117,2,SO,F0115N4S7C17,F0115N4S7C17,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047118,2,SO,F0115N4S7C18,F0115N4S7C18,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047119,2,SO,F0115N4S7C19,F0115N4S7C19,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047120,2,SO,F0115N4S7C20,F0115N4S7C20,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047121,2,SO,F0115N4S7C21,F0115N4S7C21,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047122,2,SO,F0115N4S7C22,F0115N4S7C22,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047123,2,SO,F0115N4S7C23,F0115N4S7C23,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047124,2,SO,F0115N4S7C24,F0115N4S7C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047125,2,SO,F0115N4S7C25,F0115N4S7C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047126,2,SO,F0115N4S7C26,F0115N4S7C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047127,2,SO,F0115N4S7C27,F0115N4S7C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047128,2,SO,F0115N4S7C28,F0115N4S7C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047129,2,SO,F0115N4S7C29,F0115N4S7C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047130,2,SO,F0115N4S7C30,F0115N4S7C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047131,2,SO,F0115N4S7C31,F0115N4S7C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z047132,2,SO,F0115N4S7C32,F0115N4S7C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
