@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:18
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z027101,2,SO,6200-MSO-11802E,6200MSO11802E,A塔循环浆液泵E入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z027102,2,SO,6200-MSC-11802E,6200MSC11802E,A塔循环浆液泵E入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z027103,2,SO,6200-MSO-11803E,6200MSO11803E,A塔循环浆液泵E排空门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z027104,2,SO,6200-MSC-11803E,6200MSC11803E,A塔循环浆液泵E排空门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z027105,2,SO,6200-MSO-11804E,6200MSO11804E,A塔循环浆液泵E冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z027106,2,SO,6200-MSC-11804E,6200MSC11804E,A塔循环浆液泵E冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z027107,2,SO,F0115N2S7C7,F0115N2S7C7,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027108,2,SO,F0115N2S7C8,F0115N2S7C8,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027109,2,SO,F0115N2S7C9,F0115N2S7C9,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027110,2,SO,F0115N2S7C10,F0115N2S7C10,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027111,2,SO,F0115N2S7C11,F0115N2S7C11,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027112,2,SO,F0115N2S7C12,F0115N2S7C12,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027113,2,SO,F0115N2S7C13,F0115N2S7C13,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027114,2,SO,F0115N2S7C14,F0115N2S7C14,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027115,2,SO,F0115N2S7C15,F0115N2S7C15,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027116,2,SO,F0115N2S7C16,F0115N2S7C16,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027117,2,SO,F0115N2S7C17,F0115N2S7C17,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027118,2,SO,F0115N2S7C18,F0115N2S7C18,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027119,2,SO,F0115N2S7C19,F0115N2S7C19,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027120,2,SO,F0115N2S7C20,F0115N2S7C20,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027121,2,SO,F0115N2S7C21,F0115N2S7C21,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027122,2,SO,F0115N2S7C22,F0115N2S7C22,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027123,2,SO,F0115N2S7C23,F0115N2S7C23,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027124,2,SO,F0115N2S7C24,F0115N2S7C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027125,2,SO,F0115N2S7C25,F0115N2S7C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027126,2,SO,F0115N2S7C26,F0115N2S7C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027127,2,SO,F0115N2S7C27,F0115N2S7C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027128,2,SO,F0115N2S7C28,F0115N2S7C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027129,2,SO,F0115N2S7C29,F0115N2S7C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027130,2,SO,F0115N2S7C30,F0115N2S7C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027131,2,SO,F0115N2S7C31,F0115N2S7C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z027132,2,SO,F0115N2S7C32,F0115N2S7C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
