@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:17
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z016101,2,SO,6200-MSO-11802A,6200MSO11802A,A塔循环浆液泵A入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016102,2,SO,6200-MSC-11802A,6200MSC11802A,A塔循环浆液泵A入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016103,2,SO,6200-MSO-11803A,6200MSO11803A,A塔循环浆液泵A排空门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016104,2,SO,6200-MSC-11803A,6200MSC11803A,A塔循环浆液泵A排空门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016105,2,SO,6200-MSO-11804A,6200MSO11804A,A塔循环浆液泵A冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016106,2,SO,6200-MSC-11804A,6200MSC11804A,A塔循环浆液泵A冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016107,2,SO,6200-MSO-11802C,6200MSO11802C,A塔循环浆液泵C入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016108,2,SO,6200-MSC-11802C,6200MSC11802C,A塔循环浆液泵C入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016109,2,SO,6200-MSO-11803C,6200MSO11803C,A塔循环浆液泵C排空门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016110,2,SO,6200-MSC-11803C,6200MSC11803C,A塔循环浆液泵C排空门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016111,2,SO,6200-MSO-11804C,6200MSO11804C,A塔循环浆液泵C冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016112,2,SO,6200-MSC-11804C,6200MSC11804C,A塔循环浆液泵C冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016113,2,SO,6200-MSO-11805A,6200MSO11805A,A塔石膏排出泵A入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016114,2,SO,6200-MSC-11805A,6200MSC11805A,A塔石膏排出泵A入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016115,2,SO,6200-MSO-11806A,6200MSO11806A,A塔石膏排出泵A出口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016116,2,SO,6200-MSC-11806A,6200MSC11806A,A塔石膏排出泵A出口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016117,2,SO,6200-MSO-11807A,6200MSO11807A,A塔石膏排出泵A冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z016118,2,SO,6200-MSC-11807A,6200MSC11807A,A塔石膏排出泵A冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z016119,2,SO,6200-MSO-11808A,6200MSO11808A,A塔管除冲洗电动门1开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016120,2,SO,6200-MSC-11808A,6200MSC11808A,A塔管除冲洗电动门1关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016121,2,SO,6200-MSO-11808B,6200MSO11808B,A塔管除冲洗电动门2开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016122,2,SO,6200-MSC-11808B,6200MSC11808B,A塔管除冲洗电动门2关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016123,2,SO,6200-MSO-11808C,6200MSO11808C,A塔管除冲洗电动门3开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016124,2,SO,6200-MSC-11808C,6200MSC11808C,A塔管除冲洗电动门3关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016125,2,SO,6200-MSO-11801,6200MSO11801,A塔事故喷淋电动门开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016126,2,SO,6200-MSC-11801,6200MSC11801,A塔事故喷淋电动门关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016127,2,SO,6200-MSO-11809,6200MSO11809,A塔补水电动门开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016128,2,SO,6200-MSC-11809,6200MSC11809,A塔补水电动门关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z016129,2,SO,F0115N1S6C29,F0115N1S6C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z016130,2,SO,F0115N1S6C30,F0115N1S6C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z016131,2,SO,F0115N1S6C31,F0115N1S6C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z016132,2,SO,F0115N1S6C32,F0115N1S6C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
