@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:18
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z024101,1,SI,6200-MLO-11802D,6200MLO11802D,A塔循环浆液泵D入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024102,1,SI,6200-MLC-11802D,6200MLC11802D,A塔循环浆液泵D入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024103,1,SI,6200-MLA-11802D,6200MLA11802D,A塔循环浆液泵D入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024104,1,SI,6200-MLO-11803D,6200MLO11803D,A塔循环浆液泵D排空门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024105,1,SI,6200-MLC-11803D,6200MLC11803D,A塔循环浆液泵D排空门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024106,1,SI,6200-MLA-11803D,6200MLA11803D,A塔循环浆液泵D排空门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024107,1,SI,6200-MLO-11804D,6200MLO11804D,A塔循环浆液泵D冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024108,1,SI,6200-MLC-11804D,6200MLC11804D,A塔循环浆液泵D冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024109,1,SI,6200-MLA-11804D,6200MLA11804D,A塔循环浆液泵D冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024110,1,SI,6200-MLO-11808D,6200MLO11808D,A塔管除冲洗电动门4已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024111,1,SI,6200-MLC-11808D,6200MLC11808D,A塔管除冲洗电动门4已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024112,1,SI,6200-MLA-11808D,6200MLA11808D,A塔管除冲洗电动门4故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024113,1,SI,6200-MLO-11808E,6200MLO11808E,A塔管除冲洗电动门5已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024114,1,SI,6200-MLC-11808E,6200MLC11808E,A塔管除冲洗电动门5已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024115,1,SI,6200-MLA-11808E,6200MLA11808E,A塔管除冲洗电动门5故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024116,1,SI,6200-MLO-11808F,6200MLO11808F,A塔管除冲洗电动门6已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z024117,1,SI,6200-MLC-11808F,6200MLC11808F,A塔管除冲洗电动门6已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z024118,1,SI,6200-MLA-11808F,6200MLA11808F,A塔管除冲洗电动门6故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z024119,1,SI,6200-PXR-307,6200PXR307,RTP-307机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024120,1,SI,6200-TXR-307,6200TXR307,RTP-307机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024121,1,SI,6200-PXR-308,6200PXR308,RTP-308机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024122,1,SI,6200-TXR-308,6200TXR308,RTP-308机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024123,1,SI,6200-PXR-309,6200PXR309,RTP-309机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024124,1,SI,6200-TXR-309,6200TXR309,RTP-309机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024125,1,SI,6200-TXN-301,6200TXN301,NET-301机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z024126,1,SI,F0115N2S4C26,F0115N2S4C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024127,1,SI,F0115N2S4C27,F0115N2S4C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024128,1,SI,F0115N2S4C28,F0115N2S4C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024129,1,SI,F0115N2S4C29,F0115N2S4C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024130,1,SI,F0115N2S4C30,F0115N2S4C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024131,1,SI,F0115N2S4C31,F0115N2S4C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z024132,1,SI,F0115N2S4C32,F0115N2S4C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
