@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:18
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z023101,1,SI,6200-MLO-11802B,6200MLO11802B,A塔循环浆液泵B入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023102,1,SI,6200-MLC-11802B,6200MLC11802B,A塔循环浆液泵B入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023103,1,SI,6200-MLA-11802B,6200MLA11802B,A塔循环浆液泵B入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023104,1,SI,6200-MLO-11803B,6200MLO11803B,A塔循环浆液泵B排空门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023105,1,SI,6200-MLC-11803B,6200MLC11803B,A塔循环浆液泵B排空门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023106,1,SI,6200-MLA-11803B,6200MLA11803B,A塔循环浆液泵B排空门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023107,1,SI,6200-MLO-11804B,6200MLO11804B,A塔循环浆液泵B冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023108,1,SI,6200-MLC-11804B,6200MLC11804B,A塔循环浆液泵B冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023109,1,SI,6200-MLA-11804B,6200MLA11804B,A塔循环浆液泵B冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023110,1,SI,6200-MLO-11805B,6200MLO11805B,A塔石膏排出泵B入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023111,1,SI,6200-MLC-11805B,6200MLC11805B,A塔石膏排出泵B入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023112,1,SI,6200-MLA-11805B,6200MLA11805B,A塔石膏排出泵B入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023113,1,SI,6200-MLO-11806B,6200MLO11806B,A塔石膏排出泵B出口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023114,1,SI,6200-MLC-11806B,6200MLC11806B,A塔石膏排出泵B出口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023115,1,SI,6200-MLA-11806B,6200MLA11806B,A塔石膏排出泵B出口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023116,1,SI,6200-MLO-11807B,6200MLO11807B,A塔石膏排出泵B冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023117,1,SI,6200-MLC-11807B,6200MLC11807B,A塔石膏排出泵B冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023118,1,SI,6200-MLA-11807B,6200MLA11807B,A塔石膏排出泵B冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023119,1,SI,6200-MLO-11810,6200MLO11810,A塔滤液电动门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z023120,1,SI,6200-MLC-11810,6200MLC11810,A塔滤液电动门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z023121,1,SI,6200-MLA-11810,6200MLA11810,A塔滤液电动门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z023122,1,SI,6200-PXD-307,6200PXD307,MAD-307机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z023123,1,SI,6200-TXD-307,6200TXD307,MAD-307机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z023124,1,SI,6200-TXS-304,6200TXS304,SYS-304机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z023125,1,SI,6200-PXA-304,6200PXA304,MAR-304机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z023126,1,SI,6200-TXA-304,6200TXA304,MAR-304机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z023127,1,SI,F0115N2S3C27,F0115N2S3C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023128,1,SI,F0115N2S3C28,F0115N2S3C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023129,1,SI,F0115N2S3C29,F0115N2S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023130,1,SI,F0115N2S3C30,F0115N2S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023131,1,SI,F0115N2S3C31,F0115N2S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z023132,1,SI,F0115N2S3C32,F0115N2S3C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
