@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:18
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z026101,2,SO,6200-MSO-11802B,6200MSO11802B,A塔循环浆液泵B入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026102,2,SO,6200-MSC-11802B,6200MSC11802B,A塔循环浆液泵B入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026103,2,SO,6200-MSO-11803B,6200MSO11803B,A塔循环浆液泵B排空门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026104,2,SO,6200-MSC-11803B,6200MSC11803B,A塔循环浆液泵B排空门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026105,2,SO,6200-MSO-11804B,6200MSO11804B,A塔循环浆液泵B冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026106,2,SO,6200-MSC-11804B,6200MSC11804B,A塔循环浆液泵B冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026107,2,SO,6200-MSO-11802D,6200MSO11802D,A塔循环浆液泵D入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026108,2,SO,6200-MSC-11802D,6200MSC11802D,A塔循环浆液泵D入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026109,2,SO,6200-MSO-11803D,6200MSO11803D,A塔循环浆液泵D排空门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026110,2,SO,6200-MSC-11803D,6200MSC11803D,A塔循环浆液泵D排空门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026111,2,SO,6200-MSO-11804D,6200MSO11804D,A塔循环浆液泵D冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026112,2,SO,6200-MSC-11804D,6200MSC11804D,A塔循环浆液泵D冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026113,2,SO,6200-MSO-11805B,6200MSO11805B,A塔石膏排出泵B入口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026114,2,SO,6200-MSC-11805B,6200MSC11805B,A塔石膏排出泵B入口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026115,2,SO,6200-MSO-11806B,6200MSO11806B,A塔石膏排出泵B出口门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026116,2,SO,6200-MSC-11806B,6200MSC11806B,A塔石膏排出泵B出口门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026117,2,SO,6200-MSO-11807B,6200MSO11807B,A塔石膏排出泵B冲洗门开,"ON,,OFF,ON",1,R,R,4,2,,
%Z026118,2,SO,6200-MSC-11807B,6200MSC11807B,A塔石膏排出泵B冲洗门关,"ON,,OFF,ON",1,R,R,4,2,,
%Z026119,2,SO,6200-MSO-11808D,6200MSO11808D,A塔管除冲洗电动门4开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026120,2,SO,6200-MSC-11808D,6200MSC11808D,A塔管除冲洗电动门4关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026121,2,SO,6200-MSO-11808E,6200MSO11808E,A塔管除冲洗电动门5开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026122,2,SO,6200-MSC-11808E,6200MSC11808E,A塔管除冲洗电动门5关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026123,2,SO,6200-MSO-11808F,6200MSO11808F,A塔管除冲洗电动门6开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026124,2,SO,6200-MSC-11808F,6200MSC11808F,A塔管除冲洗电动门6关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026125,2,SO,6200-MSO-11810,6200MSO11810,A塔滤液电动门开指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026126,2,SO,6200-MSC-11810,6200MSC11810,A塔滤液电动门关指令,"ON,,OFF,ON",1,R,R,4,2,,
%Z026127,2,SO,F0115N2S6C27,F0115N2S6C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026128,2,SO,F0115N2S6C28,F0115N2S6C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026129,2,SO,F0115N2S6C29,F0115N2S6C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026130,2,SO,F0115N2S6C30,F0115N2S6C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026131,2,SO,F0115N2S6C31,F0115N2S6C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026132,2,SO,F0115N2S6C32,F0115N2S6C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
