@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:20
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z043101,1,SI,6200-MFT-1-1A1,6200MFT11A1,1#炉MFT信号1,"ON,,OFF,ON",1,R,R,4,2,,
%Z043102,1,SI,6200-MFT-1-1B1,6200MFT11B1,1#炉MFT信号2,"ON,,OFF,ON",1,R,R,4,2,,
%Z043103,1,SI,6200-MFT-1-1C1,6200MFT11C1,1#炉MFT信号3,"ON,,OFF,ON",1,R,R,4,2,,
%Z043104,1,SI,6200-YA-1-3,6200YA13,1#电除尘已投入信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z043105,1,SI,6200-MLO-11802E,6200MLO11802E,A塔循环浆液泵E入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z043106,1,SI,6200-MLC-11802E,6200MLC11802E,A塔循环浆液泵E入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z043107,1,SI,6200-MLA-11802E,6200MLA11802E,A塔循环浆液泵E入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z043108,1,SI,6200-MLO-11803E,6200MLO11803E,A塔循环浆液泵E排空门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z043109,1,SI,6200-MLC-11803E,6200MLC11803E,A塔循环浆液泵E排空门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z043110,1,SI,6200-MLA-11803E,6200MLA11803E,A塔循环浆液泵E排空门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z043111,1,SI,6200-MLO-11804E,6200MLO11804E,A塔循环浆液泵E冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z043112,1,SI,6200-MLC-11804E,6200MLC11804E,A塔循环浆液泵E冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z043113,1,SI,6200-MLA-11804E,6200MLA11804E,A塔循环浆液泵E冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z043114,1,SI,F0115N4S3C14,F0115N4S3C14,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043115,1,SI,F0115N4S3C15,F0115N4S3C15,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043116,1,SI,F0115N4S3C16,F0115N4S3C16,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043117,1,SI,F0115N4S3C17,F0115N4S3C17,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043118,1,SI,F0115N4S3C18,F0115N4S3C18,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043119,1,SI,F0115N4S3C19,F0115N4S3C19,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043120,1,SI,F0115N4S3C20,F0115N4S3C20,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043121,1,SI,F0115N4S3C21,F0115N4S3C21,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043122,1,SI,F0115N4S3C22,F0115N4S3C22,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043123,1,SI,F0115N4S3C23,F0115N4S3C23,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043124,1,SI,F0115N4S3C24,F0115N4S3C24,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043125,1,SI,F0115N4S3C25,F0115N4S3C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043126,1,SI,F0115N4S3C26,F0115N4S3C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043127,1,SI,F0115N4S3C27,F0115N4S3C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043128,1,SI,F0115N4S3C28,F0115N4S3C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043129,1,SI,F0115N4S3C29,F0115N4S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043130,1,SI,F0115N4S3C30,F0115N4S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043131,1,SI,F0115N4S3C31,F0115N4S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z043132,1,SI,F0115N4S3C32,F0115N4S3C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
