@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:19
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z035101,1,SI,6200-YSLO-P-1811A,6200YSLOP1811A,A塔循环浆液泵A合闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z035102,1,SI,6200-YSLC-P-1811A,6200YSLCP1811A,A塔循环浆液泵A分闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z035103,1,SI,6200-YSHA-P-1811A,6200YSHAP1811A,A塔循环浆液泵A远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035104,1,SI,6200-YSA-P-1811A,6200YSAP1811A,A塔循环浆液泵A保护故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z035105,1,SI,6200-YSLO-P-1811B,6200YSLOP1811B,A塔循环浆液泵B合闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z035106,1,SI,6200-YSLC-P-1811B,6200YSLCP1811B,A塔循环浆液泵B分闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z035107,1,SI,6200-YSHA-P-1811B,6200YSHAP1811B,A塔循环浆液泵B远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035108,1,SI,6200-YSA-P-1811B,6200YSAP1811B,A塔循环浆液泵B保护故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z035109,1,SI,6200-YSL1-P-1812A,6200YSL1P1812A,A塔石膏排出泵A变频运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z035110,1,SI,6200-YSL2-P-1812A,6200YSL2P1812A,A塔石膏排出泵A工频运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z035111,1,SI,6200-YSL3-P-1812A,6200YSL3P1812A,A塔石膏排出泵A变频控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035112,1,SI,6200-YSHA-P-1812A,6200YSHAP1812A,A塔石膏排出泵A远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035113,1,SI,6200-YSA-P-1812A,6200YSAP1812A,A塔石膏排出泵A综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z035114,1,SI,6200-YSL-DF-1811A,6200YSLDF1811A,A塔氧化风机A运行状态,"ON,,OFF,ON",1,R,R,4,2,,
%Z035115,1,SI,6200-YSHA-DF-1811A,6200YSHADF1811A,A塔搅拌器A远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035116,1,SI,6200-YSA-DF-1811A,6200YSADF1811A,A塔氧化风机A综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z035117,1,SI,6200-YSL-A-1811A,6200YSLA1811A,A塔搅拌器A运行状态,"ON,,OFF,ON",1,R,R,4,2,,
%Z035118,1,SI,6200-YSHA-A-1811A,6200YSHAA1811A,A塔搅拌器A远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z035119,1,SI,6200-YSA-A-1811A,6200YSAA1811A,A塔搅拌器A综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z035120,1,SI,F0115N3S5C20,F0115N3S5C20,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035121,1,SI,F0115N3S5C21,F0115N3S5C21,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035122,1,SI,F0115N3S5C22,F0115N3S5C22,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035123,1,SI,F0115N3S5C23,F0115N3S5C23,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035124,1,SI,F0115N3S5C24,F0115N3S5C24,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035125,1,SI,F0115N3S5C25,F0115N3S5C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035126,1,SI,F0115N3S5C26,F0115N3S5C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035127,1,SI,F0115N3S5C27,F0115N3S5C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035128,1,SI,F0115N3S5C28,F0115N3S5C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035129,1,SI,F0115N3S5C29,F0115N3S5C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035130,1,SI,F0115N3S5C30,F0115N3S5C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035131,1,SI,F0115N3S5C31,F0115N3S5C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z035132,1,SI,F0115N3S5C32,F0115N3S5C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
