@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:20
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z046101,2,SO,6200-YYO-P1811C,6200YYOP1811C,AÀ˛—≠ª∑Ω¨“∫±√C∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046102,2,SO,6200-YYC-P1811C,6200YYCP1811C,AÀ˛—≠ª∑Ω¨“∫±√C∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046103,2,SO,6200-YYO-P1811D,6200YYOP1811D,AÀ˛—≠ª∑Ω¨“∫±√D∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046104,2,SO,6200-YYC-P1811D,6200YYCP1811D,AÀ˛—≠ª∑Ω¨“∫±√D∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046105,2,SO,6200-YYO-P1812B,6200YYOP1812B,AÀ˛ Ø∏‡≈≈≥ˆ±√B∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046106,2,SO,6200-YYC-P1812B,6200YYCP1812B,AÀ˛ Ø∏‡≈≈≥ˆ±√B∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046107,2,SO,6200-YYO-DF1811B,6200YYODF1811B,AÀ˛—ıªØ∑Áª˙B∆Ù∂Ø√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046108,2,SO,6200-YYC-DF1811B,6200YYCDF1811B,AÀ˛—ıªØ∑Áª˙B∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046109,2,SO,6200-YYO-A1811B,6200YYOA1811B,AÀ˛Ω¡∞Ë∆˜B∆Ù∂Ø√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046110,2,SO,6200-YYC-A1811B,6200YYCA1811B,AÀ˛Ω¡∞Ë∆˜B∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z046111,2,SO,F0115N4S6C11,F0115N4S6C11,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046112,2,SO,F0115N4S6C12,F0115N4S6C12,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046113,2,SO,F0115N4S6C13,F0115N4S6C13,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046114,2,SO,F0115N4S6C14,F0115N4S6C14,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046115,2,SO,F0115N4S6C15,F0115N4S6C15,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046116,2,SO,F0115N4S6C16,F0115N4S6C16,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046117,2,SO,F0115N4S6C17,F0115N4S6C17,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046118,2,SO,F0115N4S6C18,F0115N4S6C18,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046119,2,SO,F0115N4S6C19,F0115N4S6C19,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046120,2,SO,F0115N4S6C20,F0115N4S6C20,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046121,2,SO,F0115N4S6C21,F0115N4S6C21,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046122,2,SO,F0115N4S6C22,F0115N4S6C22,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046123,2,SO,F0115N4S6C23,F0115N4S6C23,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046124,2,SO,F0115N4S6C24,F0115N4S6C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046125,2,SO,F0115N4S6C25,F0115N4S6C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046126,2,SO,F0115N4S6C26,F0115N4S6C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046127,2,SO,F0115N4S6C27,F0115N4S6C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046128,2,SO,F0115N4S6C28,F0115N4S6C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046129,2,SO,F0115N4S6C29,F0115N4S6C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046130,2,SO,F0115N4S6C30,F0115N4S6C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046131,2,SO,F0115N4S6C31,F0115N4S6C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z046132,2,SO,F0115N4S6C32,F0115N4S6C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
