@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:18
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z025101,1,SI,6200-YSLO-P-1811E,6200YSLOP1811E,AËþÑ­»·½¬Òº±ÃEºÏÕ¢Î»ÖÃ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025102,1,SI,6200-YSLC-P-1811E,6200YSLCP1811E,AËþÑ­»·½¬Òº±ÃE·ÖÕ¢Î»ÖÃ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025103,1,SI,6200-YSHA-P-1811E,6200YSHAP1811E,AËþÑ­»·½¬Òº±ÃEÔ¶·½¿ØÖÆ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025104,1,SI,6200-YSA-P-1811E,6200YSAP1811E,AËþÑ­»·½¬Òº±ÃE±£»¤¹ÊÕÏ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025105,1,SI,6200-YSL-A-1811C,6200YSLA1811C,AËþ½Á°èÆ÷CÔËÐÐ×´Ì¬,"ON,,OFF,ON",1,R,R,4,2,,
%Z025106,1,SI,6200-YSHA-A-1811C,6200YSHAA1811C,AËþ½Á°èÆ÷CÔ¶·½¿ØÖÆ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025107,1,SI,6200-YSA-A-1811C,6200YSAA1811C,AËþ½Á°èÆ÷C×ÛºÏ¹ÊÕÏ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025108,1,SI,6200-YYO-FLT-1814,6200YYOFLT1814,AËþ×Ô¶¯·´³åÏ´¹ýÂËÆ÷¹ýÂË,"ON,,OFF,ON",1,R,R,4,2,,
%Z025109,1,SI,6200-YYC-FLT-1814,6200YYCFLT1814,AËþ×Ô¶¯·´³åÏ´¹ýÂËÆ÷·´Ï´,"ON,,OFF,ON",1,R,R,4,2,,
%Z025110,1,SI,6200-YSA-FLT-1814,6200YSAFLT1814,AËþ×Ô¶¯·´³åÏ´¹ýÂËÆ÷¹ÊÕÏ,"ON,,OFF,ON",1,R,R,4,2,,
%Z025111,1,SI,F0115N2S5C11,F0115N2S5C11,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025112,1,SI,F0115N2S5C12,F0115N2S5C12,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025113,1,SI,F0115N2S5C13,F0115N2S5C13,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025114,1,SI,F0115N2S5C14,F0115N2S5C14,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025115,1,SI,F0115N2S5C15,F0115N2S5C15,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025116,1,SI,F0115N2S5C16,F0115N2S5C16,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025117,1,SI,F0115N2S5C17,F0115N2S5C17,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025118,1,SI,F0115N2S5C18,F0115N2S5C18,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025119,1,SI,F0115N2S5C19,F0115N2S5C19,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025120,1,SI,F0115N2S5C20,F0115N2S5C20,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025121,1,SI,F0115N2S5C21,F0115N2S5C21,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025122,1,SI,F0115N2S5C22,F0115N2S5C22,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025123,1,SI,F0115N2S5C23,F0115N2S5C23,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025124,1,SI,F0115N2S5C24,F0115N2S5C24,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025125,1,SI,F0115N2S5C25,F0115N2S5C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025126,1,SI,F0115N2S5C26,F0115N2S5C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025127,1,SI,F0115N2S5C27,F0115N2S5C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025128,1,SI,F0115N2S5C28,F0115N2S5C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025129,1,SI,F0115N2S5C29,F0115N2S5C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025130,1,SI,F0115N2S5C30,F0115N2S5C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025131,1,SI,F0115N2S5C31,F0115N2S5C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z025132,1,SI,F0115N2S5C32,F0115N2S5C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
