@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:20
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z045101,1,SI,6200-YSLO-P-1811C,6200YSLOP1811C,A塔循环浆液泵C合闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z045102,1,SI,6200-YSLC-P-1811C,6200YSLCP1811C,A塔循环浆液泵C分闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z045103,1,SI,6200-YSHA-P-1811C,6200YSHAP1811C,A塔循环浆液泵C远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045104,1,SI,6200-YSA-P-1811C,6200YSAP1811C,A塔循环浆液泵C保护故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z045105,1,SI,6200-YSLO-P-1811D,6200YSLOP1811D,A塔循环浆液泵D合闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z045106,1,SI,6200-YSLC-P-1811D,6200YSLCP1811D,A塔循环浆液泵D分闸位置,"ON,,OFF,ON",1,R,R,4,2,,
%Z045107,1,SI,6200-YSHA-P-1811D,6200YSHAP1811D,A塔循环浆液泵D远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045108,1,SI,6200-YSA-P-1811D,6200YSAP1811D,A塔循环浆液泵D保护故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z045109,1,SI,6200-YSL1-P-1812B,6200YSL1P1812B,A塔石膏排出泵B变频运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z045110,1,SI,6200-YSL2-P-1813B,6200YSL2P1812B,A塔石膏排出泵B工频运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z045111,1,SI,6200-YSL3-P-1814B,6200YSL3P1812B,A塔石膏排出泵B变频控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045112,1,SI,6200-YSHA-P-1812B,6200YSHAP1812B,A塔石膏排出泵B远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045113,1,SI,6200-YSA-P-1812B,6200YSAP1812B,A塔石膏排出泵B综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z045114,1,SI,6200-YSL-DF-1811B,6200YSLDF1811B,A塔氧化风机B运行状态,"ON,,OFF,ON",1,R,R,4,2,,
%Z045115,1,SI,6200-YSHA-DF-1811B,6200YSHADF1811B,A塔氧化风机B远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045116,1,SI,6200-YSA-DF-1811B,6200YSADF1811B,A塔氧化风机B综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z045117,1,SI,6200-YSL-A-1811B,6200YSLA1811B,A塔搅拌器B运行状态,"ON,,OFF,ON",1,R,R,4,2,,
%Z045118,1,SI,6200-YSHA-A-1811B,6200YSHAA1811B,A塔搅拌器B远方控制,"ON,,OFF,ON",1,R,R,4,2,,
%Z045119,1,SI,6200-YSA-A-1811B,6200YSAA1811B,A塔搅拌器B综合故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z045120,1,SI,F0115N4S5C20,F0115N4S5C20,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045121,1,SI,F0115N4S5C21,F0115N4S5C21,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045122,1,SI,F0115N4S5C22,F0115N4S5C22,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045123,1,SI,F0115N4S5C23,F0115N4S5C23,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045124,1,SI,F0115N4S5C24,F0115N4S5C24,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045125,1,SI,F0115N4S5C25,F0115N4S5C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045126,1,SI,F0115N4S5C26,F0115N4S5C26,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045127,1,SI,F0115N4S5C27,F0115N4S5C27,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045128,1,SI,F0115N4S5C28,F0115N4S5C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045129,1,SI,F0115N4S5C29,F0115N4S5C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045130,1,SI,F0115N4S5C30,F0115N4S5C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045131,1,SI,F0115N4S5C31,F0115N4S5C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z045132,1,SI,F0115N4S5C32,F0115N4S5C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
