@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:19
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z036101,2,SO,6200-YYO-P-1811A,6200YYOP1811A,AÀ˛—≠ª∑Ω¨“∫±√A∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036102,2,SO,6200-YYC-P-1811A,6200YYCP1811A,AÀ˛—≠ª∑Ω¨“∫±√A∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036103,2,SO,6200-YYO-P-1811B,6200YYOP1811B,AÀ˛—≠ª∑Ω¨“∫±√B∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036104,2,SO,6200-YYC-P-1811B,6200YYCP1811B,AÀ˛—≠ª∑Ω¨“∫±√B∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036105,2,SO,6200-YYO-P-1812A,6200YYOP1812A,AÀ˛ Ø∏‡≈≈≥ˆ±√A∫œ’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036106,2,SO,6200-YYC-P-1812A,6200YYCP1812A,AÀ˛ Ø∏‡≈≈≥ˆ±√A∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036107,2,SO,6200-YYO-DF-1811A,6200YYODF1811A,AÀ˛—ıªØ∑Áª˙A∆Ù∂Ø√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036108,2,SO,6200-YYC-DF-1811A,6200YYCDF1811A,AÀ˛—ıªØ∑Áª˙A∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036109,2,SO,6200-YYO-A-1811A,6200YYOA1811A,AÀ˛Ω¡∞Ë∆˜A∆Ù∂Ø√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036110,2,SO,6200-YYC-A-1811A,6200YYCA1811A,AÀ˛Ω¡∞Ë∆˜A∑÷’¢√¸¡Ó,"ON,,OFF,ON",1,R,R,4,2,,
%Z036111,2,SO,F0115N3S6C11,F0115N3S6C11,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036112,2,SO,F0115N3S6C12,F0115N3S6C12,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036113,2,SO,F0115N3S6C13,F0115N3S6C13,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036114,2,SO,F0115N3S6C14,F0115N3S6C14,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036115,2,SO,F0115N3S6C15,F0115N3S6C15,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036116,2,SO,F0115N3S6C16,F0115N3S6C16,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036117,2,SO,F0115N3S6C17,F0115N3S6C17,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036118,2,SO,F0115N3S6C18,F0115N3S6C18,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036119,2,SO,F0115N3S6C19,F0115N3S6C19,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036120,2,SO,F0115N3S6C20,F0115N3S6C20,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036121,2,SO,F0115N3S6C21,F0115N3S6C21,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036122,2,SO,F0115N3S6C22,F0115N3S6C22,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036123,2,SO,F0115N3S6C23,F0115N3S6C23,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036124,2,SO,F0115N3S6C24,F0115N3S6C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036125,2,SO,F0115N3S6C25,F0115N3S6C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036126,2,SO,F0115N3S6C26,F0115N3S6C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036127,2,SO,F0115N3S6C27,F0115N3S6C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036128,2,SO,F0115N3S6C28,F0115N3S6C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036129,2,SO,F0115N3S6C29,F0115N3S6C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036130,2,SO,F0115N3S6C30,F0115N3S6C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036131,2,SO,F0115N3S6C31,F0115N3S6C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z036132,2,SO,F0115N3S6C32,F0115N3S6C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
