@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:17
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z013101,1,SI,6200-MLO-11802A,6200MLO11802A,A塔循环浆液泵A入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013102,1,SI,6200-MLC-11802A,6200MLC11802A,A塔循环浆液泵A入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013103,1,SI,6200-MLA-11802A,6200MLA11802A,A塔循环浆液泵A入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013104,1,SI,6200-MLO-11803A,6200MLO11803A,A塔循环浆液泵A排空门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013105,1,SI,6200-MLC-11803A,6200MLC11803A,A塔循环浆液泵A排空门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013106,1,SI,6200-MLA-11803A,6200MLA11803A,A塔循环浆液泵A排空门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013107,1,SI,6200-MLO-11804A,6200MLO11804A,A塔循环浆液泵A冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013108,1,SI,6200-MLC-11804A,6200MLC11804A,A塔循环浆液泵A冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013109,1,SI,6200-MLA-11804A,6200MLA11804A,A塔循环浆液泵A冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013110,1,SI,6200-MLO-11805A,6200MLO11805A,A塔石膏排出泵A入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013111,1,SI,6200-MLC-11805A,6200MLC11805A,A塔石膏排出泵A入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013112,1,SI,6200-MLA-11805A,6200MLA11805A,A塔石膏排出泵A入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013113,1,SI,6200-MLO-11806A,6200MLO11806A,A塔石膏排出泵A出口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013114,1,SI,6200-MLC-11806A,6200MLC11806A,A塔石膏排出泵A出口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013115,1,SI,6200-MLA-11806A,6200MLA11806A,A塔石膏排出泵A出口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013116,1,SI,6200-MLO-11807A,6200MLO11807A,A塔石膏排出泵A冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013117,1,SI,6200-MLC-11807A,6200MLC11807A,A塔石膏排出泵A冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013118,1,SI,6200-MLA-11807A,6200MLA11807A,A塔石膏排出泵A冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013119,1,SI,6200-MLO-11801,6200MLO11801,A塔事故喷淋电动门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z013120,1,SI,6200-MLC-11801,6200MLC11801,A塔事故喷淋电动门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z013121,1,SI,6200-MLA-11801,6200MLA11801,A塔事故喷淋电动门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z013122,1,SI,6200-PXD-301,6200PXD301,MAD-301机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z013123,1,SI,6200-TXD-301,6200TXD301,MAD-301机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z013124,1,SI,6200-TXS-301,6200TXS301,SYS-301机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z013125,1,SI,6200-PXA-301,6200PXA301,MAR-301机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z013126,1,SI,6200-TXA-301,6200TXA301,MAR-301机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z013127,1,SI,6200-BXA-301,6200BXA301,MAR-301机柜安全栅24V电源,"ON,,OFF,ON",1,R,R,4,2,,
%Z013128,1,SI,F0115N1S3C28,F0115N1S3C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013129,1,SI,F0115N1S3C29,F0115N1S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013130,1,SI,F0115N1S3C30,F0115N1S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013131,1,SI,F0115N1S3C31,F0115N1S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013132,1,SI,F0115N1S3C32,F0115N1S3C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
