@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:13
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z026101,2,SO,6200-YSL-FV-14103,6200YSLFV14103,1#炉电除尘输灰运行灯2,"ON,,OFF,ON",1,R,R,4,2,,
%Z026102,2,SO,6200-YC-FV-14103,6200YCFV14103,1炉电除尘输灰34进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026103,2,SO,6200-XCO-11713,6200XCO11713,1#炉电除尘输灰3#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026104,2,SO,6200-XCO-11714,6200XCO11714,1#炉电除尘输灰3#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026105,2,SO,6200-XCO-11715,6200XCO11715,1#炉电除尘输灰4#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026106,2,SO,6200-XCO-11716,6200XCO11716,1#炉电除尘输灰4#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026107,2,SO,6200-XCO-11717,6200XCO11717,1#炉电除尘输灰出料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026108,2,SO,6200-XCO-11718,6200XCO11718,1#炉电除尘输灰助吹阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026109,2,SO,6200-XCO-11719,6200XCO11719,1#炉电除尘输灰排堵阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026110,2,SO,6200-YSL-FV-14105,6200YSLFV14105,1#炉布袋1输灰运行灯1,"ON,,OFF,ON",1,R,R,4,2,,
%Z026111,2,SO,6200-XCO-11720,6200XCO11720,1#炉布袋1输灰进气阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026112,2,SO,6200-XCO-11721,6200XCO11721,1#炉布袋1输灰补气阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026113,2,SO,6200-YC-FV-14105,6200YCFV14105,1#炉布袋1输灰12进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026114,2,SO,6200-XCO-11722,6200XCO11722,1#炉布袋1输灰1#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026115,2,SO,6200-XCO-11723,6200XCO11723,1#炉布袋1输灰1#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026116,2,SO,6200-XCO-11724,6200XCO11724,1#炉布袋1输灰2#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026117,2,SO,6200-YSL-FV-14107,6200YSLFV14107,1#炉布袋1输灰运行灯2,"ON,,OFF,ON",1,R,R,4,2,,
%Z026118,2,SO,6200-YC-FV-14107,6200YCFV14107,1#炉布袋1输灰34进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026119,2,SO,6200-XCO-11725,6200XCO11725,1#炉布袋1输灰3#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026120,2,SO,6200-XCO-11726,6200XCO11726,1#炉布袋1输灰3#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026121,2,SO,6200-XCO-11727,6200XCO11727,1#炉布袋1输灰4#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026122,2,SO,6200-XCO-11728,6200XCO11728,1#炉布袋1输灰出料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z026123,2,SO,F0112N2S6C23,F0112N2S6C23,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026124,2,SO,F0112N2S6C24,F0112N2S6C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026125,2,SO,F0112N2S6C25,F0112N2S6C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026126,2,SO,F0112N2S6C26,F0112N2S6C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026127,2,SO,F0112N2S6C27,F0112N2S6C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026128,2,SO,F0112N2S6C28,F0112N2S6C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026129,2,SO,F0112N2S6C29,F0112N2S6C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026130,2,SO,F0112N2S6C30,F0112N2S6C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026131,2,SO,F0112N2S6C31,F0112N2S6C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z026132,2,SO,F0112N2S6C32,F0112N4S5C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
