@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:15
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z035101,2,SO,6200-YSL-DC-1101,6200YSLDC1101,#1Â¯³ý³¾Æ÷ÔËÐÐÐÅºÅ,"ON,,OFF,ON",1,R,R,4,2,,
%Z035102,2,SO,6200-YSS-DC-1101,6200YSSDC1101,#1Â¯³ý³¾Æ÷Í£Ö¹ÐÅºÅ,"ON,,OFF,ON",1,R,R,4,2,,
%Z035103,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035104,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035105,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035106,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035107,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035108,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035109,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035110,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035111,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035112,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035113,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035114,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035115,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035116,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035117,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035118,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035119,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035120,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035121,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035122,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035123,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035124,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035125,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035126,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035127,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035128,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035129,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035130,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035131,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
%Z035132,2,SO,,,,"ON,,OFF,ON",1,R,R,4,2,,
