@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:12
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z013101,1,SI,6200-LAH1-DC-1101,6200LAH1DC1101,#1炉除尘一室1电场灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013102,1,SI,6200-LAH2-DC-1101,6200LAH2DC1101,#1炉除尘一室1电场灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013103,1,SI,6200-LAH3-DC-1101,6200LAH3DC1101,#1炉除尘一室滤室1灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013104,1,SI,6200-LAH4-DC-1101,6200LAH4DC1101,#1炉除尘一室滤室1灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013105,1,SI,6200-LAH5-DC-1101,6200LAH5DC1101,#1炉除尘一室滤室2灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013106,1,SI,6200-LAH6-DC-1101,6200LAH6DC1101,#1炉除尘一室滤室2灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013107,1,SI,6200-LAL1-DC-1101,6200LAL1DC1101,#1炉除尘一室1电场灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013108,1,SI,6200-LAL2-DC-1101,6200LAL2DC1101,#1炉除尘一室1电场灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013109,1,SI,6200-LAL3-DC-1101,6200LAL3DC1101,#1炉除尘一室滤室1灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013110,1,SI,6200-LAL4-DC-1101,6200LAL4DC1101,#1炉除尘一室滤室1灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013111,1,SI,6200-LAL5-DC-1101,6200LAL5DC1101,#1炉除尘一室滤室2灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013112,1,SI,6200-LAL6-DC-1101,6200LAL6DC1101,#1炉除尘一室滤室2灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013113,1,SI,6200-LAH7-DC-1101,6200LAH7DC1101,#1炉除尘二室1电场灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013114,1,SI,6200-LAH8-DC-1101,6200LAH8DC1101,#1炉除尘二室1电场灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013115,1,SI,6200-LAH9-DC-1101,6200LAH9DC1101,#1炉除尘二室滤室1灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013116,1,SI,6200-LAH10-DC-1101,6200LAH10DC1101,#1炉除尘二室滤室1灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013117,1,SI,6200-LAH11-DC-1101,6200LAH11DC1101,#1炉除尘二室滤室2灰斗1高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013118,1,SI,6200-LAH12-DC-1101,6200LAH12DC1101,#1炉除尘二室滤室2灰斗2高,"ON,,OFF,ON",1,R,R,4,2,,
%Z013119,1,SI,6200-LAL7-DC-1101,6200LAL7DC1101,#1炉除尘二室1电场灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013120,1,SI,6200-LAL8-DC-1101,6200LAL8DC1101,#1炉除尘二室1电场灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013121,1,SI,6200-LAL9-DC-1101,6200LAL9DC1101,#1炉除尘二室滤室1灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013122,1,SI,6200-LAL10-DC-1101,6200LAL10DC1101,#1炉除尘二室滤室1灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013123,1,SI,6200-LAL11-DC-1101,6200LAL11DC1101,#1炉除尘二室滤室2灰斗1低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013124,1,SI,6200-LAL12-DC-1101,6200LAL12DC1101,#1炉除尘二室滤室2灰斗2低,"ON,,OFF,ON",1,R,R,4,2,,
%Z013125,1,SI,F0112N1S3C25,F0112N1S3C25,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013126,1,SI,6200-YSA1-DC-1101,6200YSA1DC1101,#1炉锅炉故障MFT动作信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z013127,1,SI,6200-YSA2-DC-1101,6200YSA2DC1101,#1炉空预器跳闸信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z013128,1,SI,6200-YSA3-DC-1101,6200YSA3DC1101,#1炉引风机跳闸信号,"ON,,OFF,ON",1,R,R,4,2,,
%Z013129,1,SI,F0112N1S3C29,F0112N1S3C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013130,1,SI,F0112N1S3C30,F0112N1S3C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013131,1,SI,F0112N1S3C31,F0112N1S3C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z013132,1,SI,F0112N1S3C32,F0112N1S2C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
