@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2029/07/17,23:59
@SHEET,1,Analog Data
@Terminal,Signal,Conversion,Service Comment,Low Limit,High Limit,Unit,Set Details,P&ID Tag Name,Label
%Z012101,1,1,#1塔中温过热器壁温A指示,4,20,mA,1,6201-TI-12114A,%%ITI12114A,IOPE=Yes,SIOP=-6.3 106.3
%Z012102,1,1,#1塔中温过热器壁温B指示,4,20,mA,1,6201-TI-12114B,%%ITI12114B,IOPE=Yes,SIOP=-6.3 106.3
%Z012103,1,1,#1塔中温过热器壁温C指示,4,20,mA,1,6201-TI-12114C,%%ITI12114C,IOPE=Yes,SIOP=-6.3 106.3
%Z012104,1,1,#1塔中温过热器壁温D指示,4,20,mA,1,6201-TI-12114D,%%ITI12114D,IOPE=Yes,SIOP=-6.3 106.3
%Z012105,1,1,#1塔中温过热器壁温E指示,4,20,mA,1,6201-TI-12114E,%%ITI12114E,IOPE=Yes,SIOP=-6.3 106.3
%Z012106,1,1,#1塔中温过热器壁温F指示,4,20,mA,1,6201-TI-12114F,%%ITI12114F,IOPE=Yes,SIOP=-6.3 106.3
%Z012107,1,1,#1塔高过金属壁温AA指示,4,20,mA,1,6201-TI-12117AA,%%ITI12117AA,IOPE=Yes,SIOP=-6.3 106.3
%Z012108,1,1,#1塔高过金属壁温AB指示,4,20,mA,1,6201-TI-12117AB,%%ITI12117AB,IOPE=Yes,SIOP=-6.3 106.3
%Z012109,1,1,#1塔高过金属壁温AC指示,4,20,mA,1,6201-TI-12117AC,%%ITI12117AC,IOPE=Yes,SIOP=-6.3 106.3
%Z012110,1,1,#1塔高过金属壁温AD指示,4,20,mA,1,6201-TI-12117AD,%%ITI12117AD,IOPE=Yes,SIOP=-6.3 106.3
%Z012111,1,1,#1塔高过金属壁温AE指示,4,20,mA,1,6201-TI-12117AE,%%ITI12117AE,IOPE=Yes,SIOP=-6.3 106.3
%Z012112,1,1,#1塔高过金属壁温AF指示,4,20,mA,1,6201-TI-12117AF,%%ITI12117AF,IOPE=Yes,SIOP=-6.3 106.3
%Z012113,1,1,AI spare,4,20,mA,1,F0104N1S2C13,,IOPE=Yes,SIOP=-6.3 106.3
%Z012114,1,1,AI spare,4,20,mA,1,F0104N1S2C14,,IOPE=Yes,SIOP=-6.3 106.3
%Z012115,1,1,AI spare,4,20,mA,1,F0104N1S2C15,,IOPE=Yes,SIOP=-6.3 106.3
%Z012116,1,1,AI spare,4,20,mA,1,F0104N1S2C16,,IOPE=Yes,SIOP=-6.3 106.3
@SHEET,2,HART Variable
@Terminal,Channel,Data,Polling Address,Service Comment,P&ID Tag Name,Label
%Z012201,,,,,,
%Z012202,,,,,,
%Z012203,,,,,,
%Z012204,,,,,,
%Z012205,,,,,,
%Z012206,,,,,,
%Z012207,,,,,,
%Z012208,,,,,,
%Z012209,,,,,,
%Z012210,,,,,,
%Z012211,,,,,,
%Z012212,,,,,,
%Z012213,,,,,,
%Z012214,,,,,,
%Z012215,,,,,,
%Z012216,,,,,,
%Z012217,,,,,,
%Z012218,,,,,,
%Z012229,,,,,,
%Z012220,,,,,,
%Z012221,,,,,,
%Z012222,,,,,,
%Z012223,,,,,,
%Z012224,,,,,,
%Z012225,,,,,,
%Z012226,,,,,,
%Z012227,,,,,,
%Z012228,,,,,,
%Z012229,,,,,,
%Z012230,,,,,,
%Z012231,,,,,,
%Z012232,,,,,,
